N,P,K,temperature,humidity,ph,rainfall,label
89.18280395373651,35.62526888056667,39.12543977553679,22.232107381488227,84.72942428328025,6.515049231134367,283.8269351557268,rice
72.60816497888248,45.54804549213176,35.44695829157106,22.186379748036032,80.10710576206725,5.539803954525795,179.82564760299726,rice
89.4965331333857,48.623537015080416,38.30660933061045,25.892656838759088,86.18860913355653,5.509748139517091,270.8728877749212,rice
90.94418184964681,43.50626291294979,37.33219249717672,29.57213072206781,76.73189090225253,5.639118765070222,164.5074565250196,rice
95.4248309904238,50.09315078417228,47.1069240991157,27.29731786693818,80.72456182909401,6.9596736459690565,206.78015658125304,rice
86.56121893819682,55.73511660632487,44.277796285463694,28.617069003107773,81.54704290513524,6.556857754322385,156.87365754834934,rice
76.83694826954641,42.23469909005268,36.19687965385441,22.3279088636103,72.02002858819458,5.916960404665138,245.35266663966001,rice
80.94496536910253,44.254524177922065,38.142605461572316,22.669778220491132,88.73309175424988,6.472053077869891,241.36965085004823,rice
75.13415944594291,53.22816994875873,37.451037406428924,23.794554417576478,89.79046701273191,6.459999639781139,233.54246156619695,rice
90.53842752969624,56.071298004745245,46.63999867319367,22.290480719641042,70.64200487808075,5.973179572088623,190.16113139635542,rice
76.32948530758979,58.57274285837636,48.14551439709003,23.14677880798478,83.1087733058976,6.093447851590996,287.18213846108154,rice
83.76555557762197,41.62200416245131,38.69941261540975,25.61368134163151,75.25483217045871,6.376878985335311,284.67343254037155,rice
81.98201515421192,40.48301897893208,49.96306409742665,25.095262936764644,71.81818824347587,5.570674563137102,166.44736955259887,rice
88.8233812510927,54.8019841090741,41.33239950199526,20.63527706151957,77.63238573013074,6.994182070360145,229.36715176487056,rice
99.13235132840855,56.519492555862456,35.1722153291423,27.207218193601946,83.63420738053149,6.3054554956131925,190.02377849288143,rice
89.22885395739425,37.78880433989691,41.52147876003657,24.537237063292064,89.0763185504216,6.813779410567291,189.50835761266362,rice
85.01758339150895,39.46629701325328,48.68941759017231,28.70518569836767,75.96889582897266,6.4584242422990075,241.34553171572583,rice
74.58517805648904,54.06277000187878,43.090685451794386,27.786264786305583,80.60707344390354,5.500857844191915,198.62340855070096,rice
70.58430227157497,58.22746540661542,48.18082816734776,28.316655293611795,76.15028250805322,5.586887749741281,281.7014398806061,rice
98.40848335893982,37.14133630169697,42.28985694974921,20.692125184683835,85.21204330514463,6.648751643960482,169.25871967496442,rice
84.25847134296194,48.7450898373736,38.97584943410089,28.724330410852573,78.46275880401774,5.817697308163123,230.89441331691876,rice
91.89793207269929,40.028776584742396,39.675744369513424,29.951493566608946,82.99756115278907,6.157150125871756,227.6363761553386,rice
73.63012587604797,40.61743342578893,40.07128343221183,25.883087184572332,74.60229465193154,5.8303260766773395,160.64896290135488,rice
88.93308871810297,40.72354459527886,48.58130019509192,28.596354002537467,71.41714699777307,5.857006951553493,250.34666674444208,rice
